grupo;orden_en_grupo;codigo_local;comuna;merchan;latitud;longitud;dist_prev_km
1;1;1459070;CHIGUAYANTE;sfigueroa;-36.9584014;-73.0143536;0
1;2;993226;CHIGUAYANTE;sfigueroa;-36.9580634;-73.0164127;0.187
1;3;2153890;CHIGUAYANTE;sfigueroa;-36.9567306;-73.017539;0.179
1;4;2223672;HUALQUI;sfigueroa;-36.9756913;-72.9390404;7.286
1;5;2331392;HUALQUI;sfigueroa;-36.9756913;-72.9390404;0
1;6;542909;HUALQUI;sfigueroa;-36.972091;-72.937806;0.415
1;7;2277762;HUALQUI;sfigueroa;-36.9743971;-72.9319317;0.581
1;8;2237719;HUALQUI;sfigueroa;-36.9686311;-72.9307765;0.649
1;9;1853684;HUALQUI;sfigueroa;-36.9808801;-72.9394022;1.563
2;1;863101;HUALQUI;sfigueroa;-36.9645025;-72.9292694;0
2;2;2087409;CORONEL;sfigueroa;-36.9759948;-73.1360871;18.418
2;3;1738032;CORONEL;sfigueroa;-36.9748361;-73.1375767;0.185
2;4;2243673;CORONEL;sfigueroa;-36.9824934;-73.144019;1.026
2;5;2103743;CORONEL;sfigueroa;-37.001515;-73.1443527;2.115
2;6;873219;CORONEL;sfigueroa;-37.0262895;-73.1370377;2.83
2;7;537800;CORONEL;sfigueroa;-37.0277706;-73.1362052;0.181
2;8;2338004;CORONEL;sfigueroa;-37.0272302;-73.1331649;0.277
2;9;1398547;CORONEL;sfigueroa;-36.96211;-73.1475642;7.353
3;1;999213;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8411977;-73.1111963;0
3;2;2077434;"SAN PEDRO DE LA PAZ";sfigueroa;-36.844575;-73.1132232;0.417
3;3;542900;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8395733;-73.1175468;0.676
3;4;1621452;"SAN PEDRO DE LA PAZ";sfigueroa;-36.837485;-73.118216;0.24
3;5;1701499;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8349942;-73.1198161;0.311
3;6;1955244;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8305876;-73.1167732;0.56
3;7;2215875;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8255073;-73.1233493;0.813
3;8;544233;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8325774;-73.1038727;1.903
3;9;1447713;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8489017;-73.1390916;3.622
4;1;926709;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8840407;-73.1402817;0
4;2;701452;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8854273;-73.1452967;0.472
4;3;1642520;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8835364;-73.1468611;0.252
4;4;2141126;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8884162;-73.1402003;0.803
4;5;1666592;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8885483;-73.1389223;0.115
4;6;1626768;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8935935;-73.1403805;0.576
4;7;788113;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8839099;-73.1335894;1.235
4;8;2051439;"SAN PEDRO DE LA PAZ";sfigueroa;-36.883345;-73.1297627;0.346
4;9;745089;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8776133;-73.1321851;0.673
5;1;833407;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8373814;-73.1445201;0
5;2;1422943;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8387958;-73.1412749;0.329
5;3;1536005;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8411997;-73.1432533;0.32
5;4;803595;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8462727;-73.1409367;0.601
5;5;542445;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8474971;-73.1442495;0.325
5;6;1547658;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8516007;-73.1407471;0.553
5;7;1323040;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8546456;-73.1359725;0.543
5;8;1624598;CORONEL;sfigueroa;-36.8568181;-73.1414836;0.547
5;9;795174;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8337987;-73.1443187;2.572
6;1;575350;"SAN PEDRO DE LA PAZ";sfigueroa;-36.8957195;-73.1403953;0
6;2;1348081;CORONEL;sfigueroa;-36.8973447;-73.1444035;0.4
6;3;1748309;"SAN PEDRO DE LA PAZ";sfigueroa;-36.894762;-73.1333701;1.022
