grupo;orden_en_grupo;codigo_local;comuna;merchan;latitud;longitud;dist_prev_km
1;1;1323056;"PUERTO MONTT";vortega;-41.3828945;-72.8985844;0
1;2;2341377;"PUERTO MONTT";vortega;-41.3836833;-72.8980385;0.099
1;3;583275;"PUERTO MONTT";vortega;-41.3845392;-72.9002419;0.207
1;4;583386;"PUERTO MONTT";vortega;-41.3820858;-72.9000413;0.273
1;5;715232;"PUERTO MONTT";vortega;-41.390487;-72.89935;0.936
1;6;581793;"PUERTO MONTT";vortega;-41.3909376;-72.9002259;0.089
1;7;1495393;"PUERTO MONTT";vortega;-41.3925187;-72.8987492;0.215
1;8;895877;"PUERTO MONTT";vortega;-41.3959821;-72.9000596;0.4
1;9;2233691;"PUERTO MONTT";vortega;-41.3921257;-72.9035223;0.517
1;10;775156;"PUERTO MONTT";vortega;-41.387551;-72.911687;0.85
1;11;775152;"PUERTO MONTT";vortega;-41.3860568;-72.910043;0.215
1;12;1338865;"PUERTO MONTT";vortega;-41.3810108;-72.9131928;0.62
1;13;1498869;"PUERTO MONTT";vortega;-41.3798441;-72.9147068;0.181
2;1;1324720;"PUERTO MONTT";vortega;-41.3978808;-72.9041788;0
2;2;1538961;"PUERTO MONTT";vortega;-41.4002565;-72.9045619;0.266
2;3;863611;"PUERTO MONTT";vortega;-41.3975978;-72.9083988;0.436
2;4;745123;"PUERTO MONTT";vortega;-41.4002161;-72.9112848;0.378
2;5;761141;"PUERTO MONTT";vortega;-41.4002161;-72.9112848;0
2;6;582446;"PUERTO MONTT";vortega;-41.4012891;-72.9121444;0.139
2;7;1697182;"PUERTO MONTT";vortega;-41.4032962;-72.914537;0.299
2;8;838880;"PUERTO MONTT";vortega;-41.4033066;-72.9166251;0.174
2;9;580661;"PUERTO MONTT";vortega;-41.3970015;-72.9195281;0.742
2;10;2262348;"PUERTO MONTT";vortega;-41.3958118;-72.9186825;0.15
2;11;1681747;"PUERTO MONTT";vortega;-41.3958071;-72.91796;0.06
2;12;2014210;"PUERTO MONTT";vortega;-41.3959773;-72.9003491;1.469
2;13;1431727;"PUERTO MONTT";vortega;-41.4074375;-72.9048175;1.328
3;1;2246382;"PUERTO MONTT";vortega;-41.405606;-72.916492;0
3;2;1389476;"PUERTO MONTT";vortega;-41.4095411;-72.9050953;1.046
3;3;1339132;"PUERTO MONTT";vortega;-41.411194;-72.905728;0.191
3;4;1600122;"PUERTO MONTT";vortega;-41.420926;-72.909629;1.13
3;5;2276272;"PUERTO MONTT";vortega;-41.42155;-72.91062;0.108
3;6;1431048;"PUERTO MONTT";vortega;-41.4242839;-72.9089705;0.334
3;7;1753622;"PUERTO MONTT";vortega;-41.4229721;-72.9063659;0.262
3;8;1762122;"PUERTO MONTT";vortega;-41.4312215;-72.9111064;0.999
3;9;1869172;"PUERTO MONTT";vortega;-41.4482883;-72.9236557;2.167
3;10;799251;"PUERTO MONTT";vortega;-41.4460586;-72.9316587;0.712
3;11;2356683;"PUERTO MONTT";vortega;-41.4458562;-72.9334232;0.149
3;12;1602794;"PUERTO MONTT";vortega;-41.4442662;-72.936437;0.307
3;13;1441243;"PUERTO MONTT";vortega;-41.4541092;-72.9279469;1.303
4;1;998263;"PUERTO MONTT";vortega;-41.466057;-72.9922017;0
4;2;2200537;"PUERTO MONTT";vortega;-41.4651171;-72.9912461;0.131
4;3;981586;"PUERTO MONTT";vortega;-41.4658944;-72.9885913;0.237
4;4;1636537;"PUERTO MONTT";vortega;-41.4655047;-72.9866313;0.169
4;5;694235;"PUERTO MONTT";vortega;-41.469089;-72.9935214;0.699
4;6;834034;"PUERTO MONTT";vortega;-41.4682437;-72.9951651;0.166
4;7;687382;"PUERTO MONTT";vortega;-41.4700365;-72.9966527;0.235
4;8;2325834;"PUERTO MONTT";vortega;-41.4702291;-73.0000563;0.284
4;9;1355488;"PUERTO MONTT";vortega;-41.4674142;-72.9987746;0.331
4;10;1368924;"PUERTO MONTT";vortega;-41.465933;-72.997358;0.203
4;11;591715;"PUERTO MONTT";vortega;-41.465647;-72.997145;0.036
4;12;802598;"PUERTO MONTT";vortega;-41.4642077;-72.9959521;0.188
4;13;615848;"PUERTO MONTT";vortega;-41.46244;-72.995781;0.197
5;1;829675;"PUERTO MONTT";vortega;-41.4713101;-72.998913;0
5;2;1491257;"PUERTO MONTT";vortega;-41.47117;-72.99968;0.066
5;3;2302030;"PUERTO MONTT";vortega;-41.4714888;-73.0015307;0.158
5;4;1334365;"PUERTO MONTT";vortega;-41.4713312;-73.0017423;0.025
5;5;1670296;"PUERTO MONTT";vortega;-41.4725472;-73.0010579;0.147
5;6;2329090;"PUERTO MONTT";vortega;-41.4736267;-73.0007369;0.123
5;7;869496;"PUERTO MONTT";vortega;-41.4801329;-72.997303;0.778
5;8;2230851;"PUERTO MONTT";vortega;-41.481725;-72.9934877;0.364
5;9;2080659;"PUERTO MONTT";vortega;-41.4793923;-72.9925358;0.271
5;10;717688;"PUERTO MONTT";vortega;-41.4768758;-72.9908529;0.313
5;11;581876;"PUERTO MONTT";vortega;-41.4761512;-72.9916357;0.104
5;12;2306340;"PUERTO MONTT";vortega;-41.475013;-72.987235;0.388
5;13;1944046;"PUERTO MONTT";vortega;-41.4729715;-72.9864583;0.236
6;1;581264;"PUERTO MONTT";vortega;-41.4648223;-72.9808524;0
6;2;2034701;"PUERTO MONTT";vortega;-41.4639727;-72.9822138;0.148
6;3;1963440;"PUERTO MONTT";vortega;-41.4639727;-72.9822138;0
6;4;1350032;"PUERTO MONTT";vortega;-41.4597588;-72.9851928;0.53
6;5;895974;"PUERTO MONTT";vortega;-41.457384;-72.9885019;0.382
