grupo;orden_en_grupo;codigo_local;comuna;merchan;latitud;longitud;dist_prev_km
1;1;1421793;"LOS ANGELES";mcarvajal;-37.4981517;-72.3331468;0
1;2;2241898;"LOS ANGELES";mcarvajal;-37.498139;-72.3333158;0.015
1;3;978880;"LOS ANGELES";mcarvajal;-37.4951504;-72.3312633;0.378
1;4;1439918;"LOS ANGELES";mcarvajal;-37.4952941;-72.3309512;0.032
1;5;556694;"LOS ANGELES";mcarvajal;-37.4939595;-72.3299721;0.172
1;6;1706075;"LOS ANGELES";mcarvajal;-37.493565;-72.3334595;0.311
1;7;2273805;"LOS ANGELES";mcarvajal;-37.4916495;-72.334362;0.227
1;8;1964948;"LOS ANGELES";mcarvajal;-37.4932126;-72.3373223;0.314
1;9;555594;"LOS ANGELES";mcarvajal;-37.4867726;-72.3365934;0.719
1;10;2361197;"LOS ANGELES";mcarvajal;-37.4874441;-72.3334205;0.29
1;11;556739;"LOS ANGELES";mcarvajal;-37.4887194;-72.3289072;0.423
1;12;898636;"LOS ANGELES";mcarvajal;-37.4880661;-72.3271287;0.173
1;13;556889;"LOS ANGELES";mcarvajal;-37.48948;-72.3271;0.157
1;14;1923237;"LOS ANGELES";mcarvajal;-37.4901048;-72.3276675;0.086
1;15;1640499;"LOS ANGELES";mcarvajal;-37.4865805;-72.3403974;1.19
2;1;1658924;"LOS ANGELES";mcarvajal;-37.4830438;-72.3469376;0
2;2;1813402;"LOS ANGELES";mcarvajal;-37.4819355;-72.3480568;0.158
2;3;553980;"LOS ANGELES";mcarvajal;-37.4832933;-72.3517515;0.359
2;4;705789;"LOS ANGELES";mcarvajal;-37.4881014;-72.3510662;0.538
2;5;2214552;"LOS ANGELES";mcarvajal;-37.4885039;-72.3502123;0.088
2;6;1679527;"LOS ANGELES";mcarvajal;-37.4875292;-72.3470002;0.303
2;7;554914;"LOS ANGELES";mcarvajal;-37.4820788;-72.3395533;0.894
2;8;2156465;"LOS ANGELES";mcarvajal;-37.4809884;-72.3332339;0.571
2;9;855225;"LOS ANGELES";mcarvajal;-37.4737852;-72.3405824;1.031
2;10;846300;"LOS ANGELES";mcarvajal;-37.4729222;-72.3451092;0.411
2;11;557639;"LOS ANGELES";mcarvajal;-37.4734806;-72.3466793;0.152
2;12;920883;"LOS ANGELES";mcarvajal;-37.4726023;-72.3481714;0.164
2;13;1418823;"LOS ANGELES";mcarvajal;-37.4777315;-72.3512892;0.633
2;14;1435535;"LOS ANGELES";mcarvajal;-37.477777;-72.356175;0.431
2;15;1845832;"LOS ANGELES";mcarvajal;-37.4780833;-72.3449316;0.993
3;1;1990935;"LOS ANGELES";mcarvajal;-37.4834567;-72.3290349;0
3;2;774501;"LOS ANGELES";mcarvajal;-37.4808735;-72.3319486;0.385
3;3;699188;"LOS ANGELES";mcarvajal;-37.4810602;-72.3329233;0.088
3;4;1673390;"LOS ANGELES";mcarvajal;-37.4778445;-72.331655;0.375
3;5;1357585;"LOS ANGELES";mcarvajal;-37.4744709;-72.3336798;0.416
