grupo;orden_en_grupo;codigo_local;comuna;merchan;latitud;longitud;dist_prev_km
1;1;1711097;MAIPU;MCLAVERO;-33.5613822;-70.7865608;0
1;2;649499;MAIPU;MCLAVERO;-33.5642721;-70.7856781;0.332
1;3;655315;MAIPU;MCLAVERO;-33.5661606;-70.78269;0.347
1;4;788695;MAIPU;MCLAVERO;-33.5657921;-70.7805773;0.2
1;5;1942812;MAIPU;MCLAVERO;-33.5622322;-70.7768218;0.527
1;6;1366941;MAIPU;MCLAVERO;-33.5582456;-70.7905827;1.35
1;7;659613;MAIPU;MCLAVERO;-33.5577394;-70.7904864;0.057
1;8;687873;MAIPU;MCLAVERO;-33.5516121;-70.7946907;0.785
1;9;761540;MAIPU;MCLAVERO;-33.5460497;-70.7880985;0.869
1;10;659036;MAIPU;MCLAVERO;-33.5467094;-70.7712492;1.563
1;11;840368;MAIPU;MCLAVERO;-33.547155;-70.771224;0.05
1;12;1365900;MAIPU;MCLAVERO;-33.5475159;-70.7703899;0.087
2;1;1447685;MAIPU;MCLAVERO;-33.3855825;-70.7765955;0
2;2;2213805;MAIPU;MCLAVERO;-33.4021312;-70.746694;3.33
2;3;1647255;MAIPU;MCLAVERO;-33.4305316;-70.7633036;3.514
2;4;697408;MAIPU;MCLAVERO;-33.4299281;-70.766038;0.262
2;5;801013;MAIPU;MCLAVERO;-33.4308938;-70.7676093;0.181
2;6;1354351;MAIPU;MCLAVERO;-33.4316943;-70.7676525;0.089
2;7;1733656;MAIPU;MCLAVERO;-33.4322069;-70.7721728;0.423
2;8;1924597;MAIPU;MCLAVERO;-33.4298705;-70.7730014;0.271
2;9;707910;MAIPU;MCLAVERO;-33.4346887;-70.771757;0.548
2;10;1655643;MAIPU;MCLAVERO;-33.434921;-70.7747894;0.283
2;11;645123;MAIPU;MCLAVERO;-33.4350716;-70.7766189;0.171
2;12;877332;MAIPU;MCLAVERO;-33.4279838;-70.7805967;0.87
