nombreFormulario,fechaVisita,mesVisita,mesNumero,merchan,comunaLocal,SALASVISITADAS,SALASIMPLEMENTADAS,PLAYA,CAMPING,CASCO_URBANO,RURAL,EVENTO,SELL_OUT
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 15:06:34",April,4,grojas,PROVIDENCIA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 15:07:09",April,4,jparedes,PROVIDENCIA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 15:08:03",April,4,grojas,PROVIDENCIA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 15:10:28",April,4,jparedes,PROVIDENCIA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 15:12:51",April,4,jparedes,PROVIDENCIA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 15:16:18",April,4,jparedes,PROVIDENCIA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 15:18:36",April,4,jparedes,PROVIDENCIA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","04/04/2025 15:20:32",April,4,jparedes,PROVIDENCIA,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 13:55:07",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 13:57:57",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 13:58:06",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 14:00:25",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 14:01:00",April,4,jparedes,CONCHALI,1,1,0,0,1,0,0,0
"IMPLEMENTACIONES DE LOCALES TEMPORADA 2024","07/04/2025 14:02:49",April,4,grojas,CONCHALI,1,1,0,0,1,0,0,0
